village,gender_hh,primary_water_source,distance_in_meters
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,1102.79
Kokech,Female,Open wells in homesteads,793.11
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,170.11
Borda,Male ,HFHK Solar Borehole/Kiosk ,446.26
Kogola East,Female,Open wells in homesteads,885.61
Kagola West,Female,Open wells in homesteads,601.1
Kokech,Male ,Open wells in homesteads,466.86
Kokech,Male ,Protected public wells ,582.77
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,1072.65
Kokech,Male ,Protected public wells ,935.2
Kagola West,Male ,"Others, specify ",468.7
Kogola East,Male ,Protected public wells ,721.19
Kokech,Male ,Open wells in homesteads,673.43
Kokech,Male ,Protected public wells ,1003.48
Borda,Male ,HFHK Solar Borehole/Kiosk ,403.65
Kaswa,Female,Piped HFHK Water,12.5
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,296.29
Kabong'o,Male ,Open wells in homesteads,647.15
Kagola West,Female,Open wells in homesteads,254.97
Kokech,Female,Protected public wells ,978.15
Kogola East,Female,Protected public wells ,746.67
Kokech,Male ,Open wells in homesteads,457.66
Kagola West,Female,Open wells in homesteads,444.69
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,1065.94
Borda,Male ,HFHK Solar Borehole/Kiosk ,456.23
Kabong'o,Male ,Open wells in homesteads,420.76
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,204.9
Kokech,Female,Protected public wells ,762.48
Kogola East,Male ,Protected public wells ,834.65
Kagola West,Female,Open wells in homesteads,295.92
Borda,Male ,HFHK Solar Borehole/Kiosk ,346.9
Kabong'o,Male ,Protected public wells ,790.95
Kagola West,Male ,HFHK Solar Borehole/Kiosk ,245.19
Kogola East,Male ,Protected public wells ,758.04
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,291.19
Kokech,Female,HFHK Solar Borehole/Kiosk ,640.51
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,1014.07
Borda,Male ,HFHK Solar Borehole/Kiosk ,285.54
Kabong'o,Male ,Open wells in homesteads,741.13
Kokech,Male ,Protected public wells ,512.75
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,392.27
Kokech,Male ,HFHK Solar Borehole/Kiosk ,214.53
Kagola West,Female,Protected public wells ,725.42
Borda,Male ,Piped HFHK Water,302.77
Kokech,Male ,Protected public wells ,304.13
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,911.19
Kagola West,Female,Open wells in homesteads,803.64
Kabong'o,Male ,Open wells in homesteads,1042.22
Kabong'o,Male ,Open wells in homesteads,909.41
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,320.97
Kokech,Male ,Protected public wells ,182.3
Kagola West,Male ,Protected public wells ,852.16
Borda,Male ,HFHK Solar Borehole/Kiosk ,324.18
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,988.33
Kokech,Male ,Protected public wells ,530.19
Kagola West,Female,Protected public wells ,721.36
Kogola East,Female,Protected public wells ,526.49
Kagola West,Male ,Protected public wells ,628.04
Kagola West,Male ,Protected public wells ,723.53
Kagola West,Female,HFHK Solar Borehole/Kiosk ,167.78
Kogola East,Male ,Protected public wells ,419.71
Kaswa,Male ,HFHK Solar Borehole/Kiosk ,49.71
Kagola West,Female,HFHK Solar Borehole/Kiosk ,112.68
Kagola West,Male ,Protected public wells ,606.63
Kagola West,Female,HFHK Solar Borehole/Kiosk ,410.64
Kagola West,Male ,HFHK Solar Borehole/Kiosk ,85.38
Kaswa,Female,HFHK Solar Borehole/Kiosk ,81.09
Kagola West,Male ,HFHK Solar Borehole/Kiosk ,442.19
Kaswa,Male ,HFHK Solar Borehole/Kiosk ,445.88
Kagola West,Male ,Piped HFHK Water,644.08
Kagola West,Male ,HFHK Solar Borehole/Kiosk ,257.46
Kagola West,Female,HFHK Solar Borehole/Kiosk ,300.88
Kagola West,Male ,Open wells in homesteads,335.5
Kagola West,Male ,HFHK Solar Borehole/Kiosk ,202.51
Kogola East,Male ,HFHK Solar Borehole/Kiosk ,311.92
